"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.javaee8.ApacheDefaultProvider","23","19","0","0.0","0","958","0.99","125"
"org.openrewrite.java.spring.boot2.RemoveObsoleteSpringRunners","23","19","0","0.0","0","1041","0.99","250"
"org.openrewrite.java.spring.framework.HttpComponentsClientHttpRequestFactoryReadTimeout","46","19","0","0.0","0","21333","0.99","2250"
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderTimeoutByInt","23","19","0","0.0","0","438918","0.99","208833"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","23","19","0","0.0","0","89877","0.99","89042"
"org.openrewrite.java.spring.boot2.MigrateSpringBootServletInitializerPackageName","23","19","0","0.0","0","1874","0.99","834"
"org.openrewrite.xml.ChangeTagName","69","19","0","0.0","0","653710","0.99","490584"
"org.openrewrite.java.spring.data.RefactorSimpleMongoDbFactoryRecipe","69","19","0","0.0","0","1750626","0.99","255584"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","23","19","0","0.0","0","1163","0.99","291"
"org.openrewrite.java.spring.ChangeSpringPropertyValue","69","19","0","0.0","0","798710","0.99","205750"
"org.openrewrite.maven.RemoveExclusion","92","19","0","0.0","0","1412161","0.99","774583"
"org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","23","19","0","0.0","0","1207","0.99","209"
"org.openrewrite.java.spring.security5.UseNewSecurityMatchers","69","19","0","0.0","0","1169753","0.99","374583"
"org.openrewrite.java.migrate.jakarta.JavaxBatchMigrationToJakartaBatch","23","19","0","0.0","0","1501","0.99","167"
"org.openrewrite.java.testing.mockito.MockUtilsToStatic","46","19","0","0.0","0","712543","0.99","454667"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","161","19","0","0.0","0","605712","0.99","212875"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","23","19","0","0.0","0","1876","0.99","542"
"org.openrewrite.java.migrate.ReplaceStringLiteralValue","23","19","0","0.0","0","721294","0.99","84709"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","345","19","0","0.0","0","2863457","0.99","184500"
"org.openrewrite.java.migrate.jakarta.JavaxFacesToJakartaFaces","23","19","0","0.0","0","750","0.99","125"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","23","19","0","0.0","0","1084","0.99","209"
"org.openrewrite.java.spring.boot2.UnnecessarySpringRunWith","23","19","0","0.0","0","958","0.99","208"
"org.openrewrite.java.migrate.JREWrapperInterface","23","19","0","0.0","0","1040","0.99","125"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$EmitterProcessorCreateIntBooleanToSinkRecipe","23","19","0","0.0","0","235960","0.99","49834"
"org.openrewrite.maven.UpgradePluginVersion","552","19","0","0.0","0","5755998","0.99","2553625"
"org.openrewrite.java.migrate.UpgradePluginsForJava17","23","19","0","0.0","0","919","0.99","209"
"org.openrewrite.java.testing.junit5.UseTestMethodOrder","23","19","0","0.0","0","115213","0.99","22959"
"org.openrewrite.java.migrate.UpgradePluginsForJava11","23","19","0","0.0","0","1375","0.99","333"
"org.openrewrite.java.migrate.util.OptionalStreamRecipe","23","19","0","0.0","0","8209","0.99","1250"
"org.openrewrite.java.spring.boot2.MigrateErrorControllerPackageName","23","19","0","0.0","0","1334","0.99","667"
"org.openrewrite.java.testing.junit5.CleanupJUnitImports","23","19","0","0.0","0","399166","0.99","165625"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","23","19","0","0.0","0","1000","0.99","250"
"org.openrewrite.java.SimplifyMethodChain","138","19","0","0.0","0","1412545","0.99","80042"
"org.openrewrite.java.spring.cloud2022.AddLoggingPatternLevelForSleuth","46","19","1050879","0.99","882916","250044","0.99","89084"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_7","23","19","0","0.0","0","2126","0.99","750"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_5","23","19","0","0.0","0","1581","0.99","625"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_6","23","19","0","0.0","0","1041","0.99","291"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","23","19","0","0.0","0","118291","0.99","25042"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","23","19","0","0.0","0","254042","0.99","143542"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_3","23","19","0","0.0","0","1373","0.99","459"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_4","23","19","0","0.0","0","1291","0.99","292"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_1","23","19","0","0.0","0","1835","0.99","375"
"org.openrewrite.java.spring.framework.MigrateInstantiationAwareBeanPostProcessorAdapter","69","19","0","0.0","0","376796","0.99","40375"
"org.openrewrite.reactive.reactor.ReactorProcessorCacheToSinkRecipes","23","19","0","0.0","0","2667","0.99","1208"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_2","23","19","0","0.0","0","2582","0.99","1625"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_0","23","19","0","0.0","0","1415","0.99","458"
"org.openrewrite.java.testing.junit5.ExpectedExceptionToAssertThrows","23","19","0","0.0","0","118708","0.99","28291"
"org.openrewrite.java.testing.junit5.AssertToAssertions","23","19","0","0.0","0","166836","0.99","29000"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateTimeoutSchedulerToSinkRecipe","23","19","0","0.0","0","262376","0.99","67291"
"org.openrewrite.java.testing.mockito.PowerMockitoMockStaticToMockito","46","19","0","0.0","0","3871040","0.99","1960833"
"org.openrewrite.java.testing.junit5.UpgradeSurefirePlugin","23","19","0","0.0","0","1747","0.99","625"
"org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml","69","19","0","0.0","0","7170","0.99","4875"
"org.openrewrite.java.spring.boot2.MigrateConfigurationPropertiesBindingPostProcessorValidatorBeanName","23","19","0","0.0","0","129206","0.99","27291"
"org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors","23","19","0","0.0","0","999","0.99","292"
"org.openrewrite.java.DeleteMethodArgument","276","19","0","0.0","0","132372","0.99","4500"
"org.openrewrite.xml.RemoveXmlTag","23","19","0","0.0","0","181334","0.99","179708"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","23","19","0","0.0","0","1187040","0.99","556708"
"org.openrewrite.java.spring.cloud2022.MigrateCloudSleuthToMicrometerTracing","46","19","0","0.0","0","2583","0.99","750"
"org.openrewrite.maven.RemoveManagedDependency","92","19","0","0.0","0","231788","0.99","88500"
"org.openrewrite.openapi.swagger.SwaggerToOpenAPI","23","19","0","0.0","0","1042","0.99","291"
"org.openrewrite.java.migrate.MXBeanRule","23","19","0","0.0","0","1552622","0.99","328750"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongArrayWeakCompareAndSetToWeakCompareAndSetPlain","23","19","0","0.0","0","1211","0.99","416"
"org.openrewrite.openapi.swagger.MigrateApiModelToSchema","23","19","0","0.0","0","1083","0.99","500"
"org.openrewrite.reactive.reactor.UpgradeReactor_3_5","23","19","0","0.0","0","1166","0.99","333"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","23","19","0","0.0","0","1375","0.99","459"
"org.openrewrite.java.migrate.jakarta.EhcacheJavaxToJakarta","23","19","0","0.0","0","1624","0.99","417"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$DirectProcessorCreateToSinkRecipe","23","19","0","0.0","0","261666","0.99","53167"
"org.openrewrite.java.testing.junit5.RunnerToExtension","69","19","0","0.0","0","899378","0.99","103125"
"org.openrewrite.java.spring.boot3.ConfigurationOverEnableSecurity","23","19","0","0.0","0","1713416","0.99","850333"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$UnicastProcessorCreateToSinkRecipe","23","19","0","0.0","0","301127","0.99","78334"
"org.openrewrite.java.testing.junit5.UseWiremockExtension","23","19","0","0.0","0","148459","0.99","29542"
"org.openrewrite.apache.httpclient5.MigrateAuthScope","46","19","0","0.0","0","439543","0.99","103125"
"org.openrewrite.maven.UpgradeParentVersion","322","19","0","0.0","0","6473202007","0.99","4586981583"
"org.openrewrite.java.spring.boot2.MigrateRestClientBuilderCustomizerPackageName","23","19","0","0.0","0","1081","0.99","416"
"org.openrewrite.java.ChangeAnnotationAttributeName","230","19","0","0.0","0","2081427","0.99","499542"
"org.openrewrite.java.spring.security6.oauth2.client.OAuth2LoginLambdaDsl","46","19","0","0.0","0","494043","0.99","54000"
"org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket","23","19","0","0.0","0","2957","0.99","667"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","23","19","0","0.0","0","1123","0.99","292"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","23","19","0","0.0","0","170751","0.99","35625"
"org.openrewrite.java.spring.boot2.SpringBoot2BestPractices","23","19","0","0.0","0","1584","0.99","500"
"org.openrewrite.java.spring.framework.EnvironmentAcceptsProfiles","92","19","0","0.0","0","76627","0.99","5459"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$EmitterProcessorCreateIntToSinkRecipe","23","19","0","0.0","0","340417","0.99","115000"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","23","19","0","0.0","0","832","0.99","209"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_7","23","19","0","0.0","0","1332","0.99","417"
"org.openrewrite.gradle.plugins.UpgradePluginVersion","345","19","353659750","0.99","317260958","16736054","0.99","1812959"
"org.openrewrite.java.spring.boot2.MigrateDatabaseCredentials","23","19","0","0.0","0","998","0.99","208"
"org.openrewrite.java.spring.framework.MigrateHandlerInterceptor","69","19","0","0.0","0","872623","0.99","511417"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","23","19","0","0.0","0","732625","0.99","182416"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_3","69","19","0","0.0","0","10955","0.99","8250"
"org.openrewrite.java.testing.junit5.JUnit4to5Migration","23","19","0","0.0","0","1415","0.99","625"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_5","46","19","0","0.0","0","2242","0.99","291"
"org.openrewrite.java.spring.boot3.RemoveConstructorBindingAnnotation","23","19","0","0.0","0","185751","0.99","32042"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","23","19","0","0.0","0","1336","0.99","250"
"org.openrewrite.java.spring.boot2.MigrateApplicationHealthIndicatorToPingHealthIndicator","23","19","0","0.0","0","1293","0.99","500"
"org.openrewrite.java.migrate.UpgradeJavaVersion","46","19","0","0.0","0","5345666","0.99","1213375"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5","46","19","0","0.0","0","2999","0.99","500"
"org.openrewrite.java.spring.boot3.ActuatorEndpointSanitization","23","19","0","0.0","0","1002","0.99","166"
"org.openrewrite.maven.RemoveProperty","23","19","0","0.0","0","84916","0.99","84250"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","23","19","0","0.0","0","137585","0.99","22833"
"org.openrewrite.reactive.reactor.ReactorProcessorCacheToSinkRecipes$ReplayProcessorCacheDefaultToSinkRecipe","23","19","0","0.0","0","288335","0.99","65709"
"org.openrewrite.java.migrate.util.ReplaceMathRandomWithThreadLocalRandomRecipe","23","19","0","0.0","0","65916","0.99","17500"
"org.openrewrite.java.migrate.jakarta.JavaxXmlSoapToJakartaXmlSoap","23","19","0","0.0","0","1293","0.99","209"
"org.openrewrite.java.spring.batch.ReplaceSupportClassWithItsInterface","115","19","0","0.0","0","776664","0.99","109667"
"org.openrewrite.apache.httpclient4.MigrateDefaultHttpClient","46","19","0","0.0","0","312667","0.99","73291"
"org.openrewrite.java.spring.boot2.HttpSecurityLambdaDsl","69","19","0","0.0","0","72298041","0.99","71033334"
"org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","46","19","0","0.0","0","25341794","0.99","15095250"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","23","19","0","0.0","0","1051915","0.99","285666"
"org.openrewrite.java.spring.NoRequestMappingAnnotation","23","19","0","0.0","0","358790","0.99","104333"
"org.openrewrite.java.spring.batch.MigrateStepBuilderFactory","23","19","0","0.0","0","17417","0.99","6125"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$UnicastProcessorCreateQueueConsumerDisposableToSinkRecipe","23","19","0","0.0","0","222377","0.99","50125"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","23","19","0","0.0","0","874","0.99","167"
"org.openrewrite.java.spring.boot3.SpringBootProperties_3_0","23","19","0","0.0","0","1333","0.99","333"
"org.openrewrite.java.spring.boot3.SpringBootProperties_3_1","23","19","0","0.0","0","3041","0.99","1625"
"org.openrewrite.java.spring.boot3.SpringBootProperties_3_2","23","19","0","0.0","0","1250","0.99","416"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","23","19","0","0.0","0","917","0.99","167"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","23","19","0","0.0","0","8458","0.99","7500"
"org.openrewrite.java.migrate.jakarta.JavaxSecurityToJakartaSecurity","23","19","0","0.0","0","918","0.99","208"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_1","92","19","0","0.0","0","3499","0.99","417"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_2","92","19","0","0.0","0","4040","0.99","541"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_3","69","19","0","0.0","0","3332","0.99","417"
"org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","23","19","0","0.0","0","958","0.99","250"
"org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","23","19","0","0.0","0","1084","0.99","333"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_0","115","19","0","0.0","0","5296","0.99","583"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain","23","19","0","0.0","0","957","0.99","167"
"org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","23","19","0","0.0","0","958","0.99","291"
"org.openrewrite.java.migrate.jakarta.JavaxElToJakartaEl","23","19","0","0.0","0","960","0.99","250"
"org.openrewrite.java.testing.mockito.Mockito1to3Migration","46","19","0","0.0","0","1542","0.99","167"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","3634","19","657316333","0.99","409246708","174151578","0.99","11683042"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateSizeAndTimeoutSchedulerToSinkRecipe","23","19","0","0.0","0","244210","0.99","53125"
"org.openrewrite.java.spring.AddSpringProperty","23","19","0","0.0","0","2042","0.99","875"
"org.openrewrite.java.migrate.logging.JavaLoggingAPIs","23","19","0","0.0","0","1585","0.99","459"
"org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal","23","19","0","0.0","0","162832","0.99","23958"
"org.openrewrite.java.migrate.javax.AddInjectDependencies","23","19","0","0.0","0","1165","0.99","333"
"org.openrewrite.java.spring.security6.UpdateEnableReactiveMethodSecurity","69","19","0","0.0","0","295961","0.99","25917"
"org.openrewrite.java.spring.framework.MigrateResponseStatusExceptionGetRawStatusCodeMethod","46","19","0","0.0","0","2024212","0.99","505292"
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderBasicAuthorization","23","19","0","0.0","0","1374","0.99","500"
"org.openrewrite.gradle.RemoveDependency","690","19","0","0.0","0","89553","0.99","9250"
"org.openrewrite.java.spring.security6.UseSha256InRememberMe","69","19","0","0.0","0","801212","0.99","177208"
"org.openrewrite.java.spring.batch.SpringBatch4To5Migration","23","19","0","0.0","0","2040","0.99","375"
"org.openrewrite.java.testing.junit5.UpdateBeforeAfterAnnotations","23","19","0","0.0","0","468206","0.99","102625"
"org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","23","19","0","0.0","0","1417","0.99","625"
"org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","23","19","0","0.0","0","3126","0.99","1750"
"org.openrewrite.java.migrate.javax.JavaxLangModelUtil","23","19","0","0.0","0","874","0.99","250"
"org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","23","19","0","0.0","0","7668","0.99","6334"
"org.openrewrite.gradle.spring.AddSpringDependencyManagementPlugin","23","19","0","0.0","0","2791","0.99","1041"
"org.openrewrite.java.ReorderMethodArguments","207","19","0","0.0","0","8689458","0.99","260416"
"org.openrewrite.java.spring.security6.oauth2.client.OAuth2ClientLambdaDsl","46","19","0","0.0","0","411377","0.99","49834"
"org.openrewrite.java.spring.boot2.ServerHttpSecurityLambdaDsl","69","19","0","0.0","0","1545708","0.99","801750"
"org.openrewrite.java.testing.junit5.MockitoJUnitToMockitoExtension","46","19","0","0.0","0","531000","0.99","65709"
"org.openrewrite.java.spring.security5.ReplaceGlobalMethodSecurityWithMethodSecurity","69","19","0","0.0","0","354435122","0.99","353896250"
"org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs","23","19","0","0.0","0","1164","0.99","292"
"org.openrewrite.java.springdoc.SpringFoxToSpringDoc","23","19","0","0.0","0","1166","0.99","334"
