"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.batch.MigrateJobBuilderFactory","23","19","0","0.0","0","19831","0.99","4208"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","23","19","0","0.0","0","1413","0.99","750"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","23","19","0","0.0","0","1085","0.99","250"
"org.openrewrite.java.testing.junit5.MigrateAssumptions","23","19","0","0.0","0","1125","0.99","250"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","23","19","0","0.0","0","756250","0.99","261625"
"org.openrewrite.java.testing.mockito.RetainStrictnessWarn","46","19","3931165","0.99","1831709","356997","0.99","81958"
"org.openrewrite.java.RemoveAnnotation","46","19","0","0.0","0","2211168","0.99","405375"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","23","19","0","0.0","0","10082","0.99","2875"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$UnicastProcessorCreateQueueToSinkRecipe","23","19","0","0.0","0","351623","0.99","88959"
"org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation","23","19","0","0.0","0","238749","0.99","51833"
"org.openrewrite.java.spring.boot3.MigrateDropWizardDependencies","23","19","0","0.0","0","1164","0.99","375"
"org.openrewrite.java.testing.junit5.JUnitParamsRunnerToParameterized","23","19","0","0.0","0","128957","0.99","42667"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","23","19","0","0.0","0","916","0.99","208"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","23","19","0","0.0","0","1247","0.99","291"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","23","19","0","0.0","0","536543","0.99","73209"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$EmitterProcessorCreateBooleanToSinkRecipe","23","19","0","0.0","0","365416","0.99","154083"
"org.openrewrite.yaml.ChangeKey","23","19","0","0.0","0","29866499","0.99","29858375"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","23","19","0","0.0","0","748","0.99","166"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_1","46","19","0","0.0","0","1712","0.99","333"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","69","19","0","0.0","0","3122","0.99","958"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_2","23","19","0","0.0","0","2457","0.99","1333"
"org.openrewrite.java.spring.boot2.MigrateWebTestClientBuilderCustomizerPackageName","23","19","0","0.0","0","1500","0.99","375"
"org.openrewrite.java.spring.data.UseJpaRepositoryGetReferenceById","23","19","0","0.0","0","834","0.99","167"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","23","19","0","0.0","0","1375","0.99","166"
"org.openrewrite.java.spring.boot3.MigrateMaxHttpHeaderSize","23","19","0","0.0","0","918","0.99","125"
"org.openrewrite.java.testing.junit5.AddMissingTestBeforeAfterAnnotations","23","19","0","0.0","0","3975832","0.99","1570083"
"org.openrewrite.java.migrate.jakarta.JavaxOrmXmlToJakartaOrmXml","23","19","0","0.0","0","1290","0.99","375"
"org.openrewrite.java.migrate.jakarta.JavaxJmsToJakartaJms","23","19","0","0.0","0","1000","0.99","209"
"org.openrewrite.java.spring.boot3.RelocateLauncherClasses","23","19","0","0.0","0","873","0.99","333"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","23","19","0","0.0","0","80546","0.99","15709"
"org.openrewrite.java.testing.junit5.IgnoreToDisabled","23","19","0","0.0","0","1377","0.99","417"
"org.openrewrite.java.spring.data.UseJpaRepositoryGetById","46","19","0","0.0","0","3793","0.99","1000"
"org.openrewrite.java.spring.boot2.GetErrorAttributes","23","19","0","0.0","0","21250","0.99","4708"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","23","19","0","0.0","0","1540","0.99","542"
"org.openrewrite.hibernate.EmptyInterceptorToInterface","46","19","0","0.0","0","1760790","0.99","164167"
"org.openrewrite.java.migrate.jakarta.JavaxWsToJakartaWs","23","19","0","0.0","0","1544","0.99","292"
"org.openrewrite.openapi.swagger.MigrateApiResponsesToApiResponses","23","19","0","0.0","0","1707","0.99","375"
"org.openrewrite.java.spring.test.SpringRulesToJUnitExtension","23","19","0","0.0","0","802540","0.99","355542"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","23","19","0","0.0","0","928627","0.99","122375"
"org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise","23","19","0","0.0","0","959","0.99","250"
"org.openrewrite.java.spring.security5.UpdateSCryptPasswordEncoder","69","19","0","0.0","0","744046","0.99","191792"
"org.openrewrite.java.spring.security5.ReplaceGlobalMethodSecurityWithMethodSecurityXml","69","19","0","0.0","0","3377","0.99","459"
"org.openrewrite.java.spring.security6.oauth2.server.resource.OAuth2ResourceServerLambdaDsl","46","19","0","0.0","0","645914","0.99","171667"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","23","19","539166","0.99","76000","2296667","0.99","1646584"
"org.openrewrite.java.spring.boot2.ReplaceExtendWithAndContextConfiguration","23","19","0","0.0","0","206293","0.99","31500"
"org.openrewrite.maven.ChangeDependencyClassifier","69","19","0","0.0","0","562249","0.99","199125"
"org.openrewrite.maven.AddPluginDependency","23","19","0","0.0","0","2083","0.99","1166"
"org.openrewrite.java.spring.kafka.UpgradeSpringKafka_3_0","23","19","0","0.0","0","15457","0.99","14542"
"org.openrewrite.java.migrate.javaee7.OpenJPAPersistenceProvider","23","19","0","0.0","0","1918","0.99","417"
"org.openrewrite.java.spring.framework.MigrateWebMvcConfigurerAdapter","115","19","0","0.0","0","776749","0.99","58250"
"org.openrewrite.java.migrate.javaee8.ApacheDefaultProvider","23","19","0","0.0","0","835","0.99","209"
"org.openrewrite.java.spring.boot2.RemoveObsoleteSpringRunners","23","19","0","0.0","0","915","0.99","166"
"org.openrewrite.java.spring.framework.HttpComponentsClientHttpRequestFactoryReadTimeout","46","19","0","0.0","0","28337","0.99","7292"
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderTimeoutByInt","23","19","0","0.0","0","501875","0.99","274583"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","23","19","0","0.0","0","107959","0.99","107083"
"org.openrewrite.java.spring.boot2.MigrateSpringBootServletInitializerPackageName","23","19","0","0.0","0","1959","0.99","542"
"org.openrewrite.xml.ChangeTagName","69","19","0","0.0","0","286417","0.99","124625"
"org.openrewrite.java.spring.data.RefactorSimpleMongoDbFactoryRecipe","69","19","0","0.0","0","1550203","0.99","199375"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","23","19","0","0.0","0","915","0.99","208"
"org.openrewrite.java.spring.ChangeSpringPropertyValue","69","19","0","0.0","0","1137879","0.99","298833"
"org.openrewrite.maven.RemoveExclusion","92","19","0","0.0","0","4035961","0.99","2636875"
"org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","23","19","0","0.0","0","1210","0.99","375"
"org.openrewrite.java.spring.security5.UseNewSecurityMatchers","69","19","0","0.0","0","2402121","0.99","1016583"
"org.openrewrite.java.migrate.jakarta.JavaxBatchMigrationToJakartaBatch","23","19","0","0.0","0","1124","0.99","291"
"org.openrewrite.java.testing.mockito.MockUtilsToStatic","46","19","0","0.0","0","409998","0.99","98292"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","161","19","0","0.0","0","567286","0.99","98625"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","23","19","0","0.0","0","1335","0.99","375"
"org.openrewrite.java.migrate.ReplaceStringLiteralValue","23","19","0","0.0","0","702792","0.99","92958"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","345","19","0","0.0","0","5125819","0.99","1228708"
"org.openrewrite.java.migrate.jakarta.JavaxFacesToJakartaFaces","23","19","0","0.0","0","957","0.99","125"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","23","19","0","0.0","0","1040","0.99","250"
"org.openrewrite.java.spring.boot2.UnnecessarySpringRunWith","23","19","0","0.0","0","1415","0.99","333"
"org.openrewrite.java.migrate.JREWrapperInterface","23","19","0","0.0","0","874","0.99","208"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$EmitterProcessorCreateIntBooleanToSinkRecipe","23","19","0","0.0","0","407497","0.99","108584"
"org.openrewrite.maven.UpgradePluginVersion","552","19","0","0.0","0","4603643","0.99","1542708"
"org.openrewrite.java.migrate.UpgradePluginsForJava17","23","19","0","0.0","0","1332","0.99","416"
"org.openrewrite.java.testing.junit5.UseTestMethodOrder","23","19","0","0.0","0","202247","0.99","73333"
"org.openrewrite.java.migrate.UpgradePluginsForJava11","23","19","0","0.0","0","3667","0.99","1542"
"org.openrewrite.java.migrate.util.OptionalStreamRecipe","23","19","0","0.0","0","15998","0.99","7541"
"org.openrewrite.java.spring.boot2.MigrateErrorControllerPackageName","23","19","0","0.0","0","1418","0.99","417"
"org.openrewrite.java.testing.junit5.CleanupJUnitImports","23","19","0","0.0","0","452332","0.99","130458"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","23","19","0","0.0","0","1419","0.99","583"
"org.openrewrite.java.SimplifyMethodChain","138","19","0","0.0","0","1839493","0.99","179583"
"org.openrewrite.java.spring.cloud2022.AddLoggingPatternLevelForSleuth","46","19","1483375","0.99","1296459","271503","0.99","73333"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_7","23","19","0","0.0","0","1668","0.99","334"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_5","23","19","0","0.0","0","1669","0.99","500"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_6","23","19","0","0.0","0","918","0.99","166"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","23","19","0","0.0","0","153331","0.99","28375"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","23","19","0","0.0","0","108502","0.99","74917"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_3","23","19","0","0.0","0","5251","0.99","4334"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_4","23","19","0","0.0","0","1292","0.99","459"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_1","23","19","0","0.0","0","1001","0.99","334"
"org.openrewrite.java.spring.framework.MigrateInstantiationAwareBeanPostProcessorAdapter","69","19","0","0.0","0","427711","0.99","49750"
"org.openrewrite.reactive.reactor.ReactorProcessorCacheToSinkRecipes","23","19","0","0.0","0","1164","0.99","291"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_2","23","19","0","0.0","0","1498","0.99","583"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_0","23","19","0","0.0","0","1211","0.99","334"
"org.openrewrite.java.testing.junit5.ExpectedExceptionToAssertThrows","23","19","0","0.0","0","160625","0.99","25708"
"org.openrewrite.java.testing.junit5.AssertToAssertions","23","19","0","0.0","0","204418","0.99","28000"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateTimeoutSchedulerToSinkRecipe","23","19","0","0.0","0","302456","0.99","87000"
"org.openrewrite.java.testing.mockito.PowerMockitoMockStaticToMockito","46","19","0","0.0","0","4584787","0.99","3495000"
"org.openrewrite.java.testing.junit5.UpgradeSurefirePlugin","23","19","0","0.0","0","1709","0.99","375"
"org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml","69","19","0","0.0","0","4003","0.99","1334"
"org.openrewrite.java.spring.boot2.MigrateConfigurationPropertiesBindingPostProcessorValidatorBeanName","23","19","0","0.0","0","166875","0.99","35167"
"org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors","23","19","0","0.0","0","960","0.99","209"
"org.openrewrite.java.DeleteMethodArgument","276","19","0","0.0","0","206702","0.99","23542"
"org.openrewrite.xml.RemoveXmlTag","23","19","0","0.0","0","159995","0.99","158834"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","23","19","0","0.0","0","4719041","0.99","2948250"
"org.openrewrite.java.spring.cloud2022.MigrateCloudSleuthToMicrometerTracing","46","19","0","0.0","0","1961","0.99","333"
"org.openrewrite.maven.RemoveManagedDependency","92","19","0","0.0","0","210659","0.99","68625"
"org.openrewrite.openapi.swagger.SwaggerToOpenAPI","23","19","0","0.0","0","1042","0.99","333"
"org.openrewrite.java.migrate.MXBeanRule","23","19","0","0.0","0","1373128","0.99","159334"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongArrayWeakCompareAndSetToWeakCompareAndSetPlain","23","19","0","0.0","0","1000","0.99","166"
"org.openrewrite.openapi.swagger.MigrateApiModelToSchema","23","19","0","0.0","0","1711","0.99","500"
"org.openrewrite.reactive.reactor.UpgradeReactor_3_5","23","19","0","0.0","0","874","0.99","125"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","23","19","0","0.0","0","2207","0.99","1292"
"org.openrewrite.java.migrate.jakarta.EhcacheJavaxToJakarta","23","19","0","0.0","0","1460","0.99","250"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$DirectProcessorCreateToSinkRecipe","23","19","0","0.0","0","634583","0.99","425041"
"org.openrewrite.java.testing.junit5.RunnerToExtension","69","19","0","0.0","0","1447833","0.99","290584"
"org.openrewrite.java.spring.boot3.ConfigurationOverEnableSecurity","23","19","0","0.0","0","1363293","0.99","850125"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$UnicastProcessorCreateToSinkRecipe","23","19","0","0.0","0","324168","0.99","90084"
"org.openrewrite.java.testing.junit5.UseWiremockExtension","23","19","0","0.0","0","331876","0.99","161666"
"org.openrewrite.apache.httpclient5.MigrateAuthScope","46","19","0","0.0","0","492704","0.99","51792"
"org.openrewrite.maven.UpgradeParentVersion","322","19","0","0.0","0","5843895420","0.99","3159433292"
"org.openrewrite.java.spring.boot2.MigrateRestClientBuilderCustomizerPackageName","23","19","0","0.0","0","1373","0.99","542"
"org.openrewrite.java.ChangeAnnotationAttributeName","230","19","0","0.0","0","2316994","0.99","269166"
"org.openrewrite.java.spring.security6.oauth2.client.OAuth2LoginLambdaDsl","46","19","0","0.0","0","974747","0.99","240500"
"org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket","23","19","0","0.0","0","3916","0.99","792"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","23","19","0","0.0","0","1627","0.99","542"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","23","19","0","0.0","0","2968249","0.99","2819250"
"org.openrewrite.java.spring.boot2.SpringBoot2BestPractices","23","19","0","0.0","0","1415","0.99","500"
"org.openrewrite.java.spring.framework.EnvironmentAcceptsProfiles","92","19","0","0.0","0","91998","0.99","16166"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$EmitterProcessorCreateIntToSinkRecipe","23","19","0","0.0","0","401625","0.99","161750"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","23","19","0","0.0","0","3830","0.99","2375"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_7","23","19","0","0.0","0","1420","0.99","375"
"org.openrewrite.gradle.plugins.UpgradePluginVersion","345","19","54431875","0.99","8605791","18825461","0.99","1249750"
"org.openrewrite.java.spring.boot2.MigrateDatabaseCredentials","23","19","0","0.0","0","1499","0.99","583"
"org.openrewrite.java.spring.framework.MigrateHandlerInterceptor","69","19","0","0.0","0","447958","0.99","35000"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","23","19","0","0.0","0","776167","0.99","139417"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_3","69","19","0","0.0","0","2286","0.99","292"
"org.openrewrite.java.testing.junit5.JUnit4to5Migration","23","19","0","0.0","0","915","0.99","250"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_5","46","19","0","0.0","0","1543","0.99","208"
"org.openrewrite.java.spring.boot3.RemoveConstructorBindingAnnotation","23","19","0","0.0","0","225752","0.99","44583"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","23","19","0","0.0","0","1872","0.99","750"
"org.openrewrite.java.spring.boot2.MigrateApplicationHealthIndicatorToPingHealthIndicator","23","19","0","0.0","0","1502","0.99","375"
"org.openrewrite.java.migrate.UpgradeJavaVersion","46","19","0","0.0","0","6842625","0.99","1844459"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5","46","19","0","0.0","0","2209","0.99","417"
"org.openrewrite.java.spring.boot3.ActuatorEndpointSanitization","23","19","0","0.0","0","873","0.99","291"
"org.openrewrite.maven.RemoveProperty","23","19","0","0.0","0","151625","0.99","150833"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","23","19","0","0.0","0","132957","0.99","25250"
"org.openrewrite.reactive.reactor.ReactorProcessorCacheToSinkRecipes$ReplayProcessorCacheDefaultToSinkRecipe","23","19","0","0.0","0","286586","0.99","92334"
"org.openrewrite.java.migrate.util.ReplaceMathRandomWithThreadLocalRandomRecipe","23","19","0","0.0","0","69499","0.99","17958"
"org.openrewrite.java.migrate.jakarta.JavaxXmlSoapToJakartaXmlSoap","23","19","0","0.0","0","1248","0.99","250"
"org.openrewrite.java.spring.batch.ReplaceSupportClassWithItsInterface","115","19","0","0.0","0","871708","0.99","114208"
"org.openrewrite.apache.httpclient4.MigrateDefaultHttpClient","46","19","0","0.0","0","412663","0.99","60000"
"org.openrewrite.java.spring.boot2.HttpSecurityLambdaDsl","69","19","0","0.0","0","53251629","0.99","51469750"
"org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","46","19","0","0.0","0","41329246","0.99","23012291"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","23","19","0","0.0","0","1405170","0.99","273209"
"org.openrewrite.java.spring.NoRequestMappingAnnotation","23","19","0","0.0","0","329958","0.99","129500"
"org.openrewrite.java.spring.batch.MigrateStepBuilderFactory","23","19","0","0.0","0","13206","0.99","1709"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$UnicastProcessorCreateQueueConsumerDisposableToSinkRecipe","23","19","0","0.0","0","316126","0.99","87208"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","23","19","0","0.0","0","874","0.99","125"
"org.openrewrite.java.spring.boot3.SpringBootProperties_3_0","23","19","0","0.0","0","747","0.99","167"
"org.openrewrite.java.spring.boot3.SpringBootProperties_3_1","23","19","0","0.0","0","1082","0.99","167"
"org.openrewrite.java.spring.boot3.SpringBootProperties_3_2","23","19","0","0.0","0","1459","0.99","333"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","23","19","0","0.0","0","664","0.99","125"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","23","19","0","0.0","0","919","0.99","209"
"org.openrewrite.java.migrate.jakarta.JavaxSecurityToJakartaSecurity","23","19","0","0.0","0","709","0.99","250"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_1","92","19","0","0.0","0","3624","0.99","458"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_2","92","19","0","0.0","0","4127","0.99","417"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_3","69","19","0","0.0","0","2166","0.99","334"
"org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","23","19","0","0.0","0","835","0.99","167"
"org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","23","19","0","0.0","0","918","0.99","208"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_0","115","19","0","0.0","0","6418","0.99","1458"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain","23","19","0","0.0","0","1544","0.99","417"
"org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","23","19","0","0.0","0","1166","0.99","375"
"org.openrewrite.java.migrate.jakarta.JavaxElToJakartaEl","23","19","0","0.0","0","1210","0.99","209"
"org.openrewrite.java.testing.mockito.Mockito1to3Migration","46","19","0","0.0","0","2956","0.99","1208"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","3634","19","1138115724","0.99","512906416","197521844","0.99","8153708"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateSizeAndTimeoutSchedulerToSinkRecipe","23","19","0","0.0","0","332084","0.99","85500"
"org.openrewrite.java.spring.AddSpringProperty","23","19","0","0.0","0","1084","0.99","167"
"org.openrewrite.java.migrate.logging.JavaLoggingAPIs","23","19","0","0.0","0","1709","0.99","500"
"org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal","23","19","0","0.0","0","313541","0.99","127167"
"org.openrewrite.java.migrate.javax.AddInjectDependencies","23","19","0","0.0","0","830","0.99","250"
"org.openrewrite.java.spring.security6.UpdateEnableReactiveMethodSecurity","69","19","0","0.0","0","387458","0.99","29250"
"org.openrewrite.java.spring.framework.MigrateResponseStatusExceptionGetRawStatusCodeMethod","46","19","0","0.0","0","2447707","0.99","510542"
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderBasicAuthorization","23","19","0","0.0","0","961","0.99","417"
"org.openrewrite.gradle.RemoveDependency","690","19","0","0.0","0","115080","0.99","12125"
"org.openrewrite.java.spring.security6.UseSha256InRememberMe","69","19","0","0.0","0","2891629","0.99","1312750"
"org.openrewrite.java.spring.batch.SpringBatch4To5Migration","23","19","0","0.0","0","1084","0.99","209"
"org.openrewrite.java.testing.junit5.UpdateBeforeAfterAnnotations","23","19","0","0.0","0","688542","0.99","176084"
"org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","23","19","0","0.0","0","7585","0.99","6834"
"org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","23","19","0","0.0","0","6418","0.99","5458"
"org.openrewrite.java.migrate.javax.JavaxLangModelUtil","23","19","0","0.0","0","1540","0.99","541"
"org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","23","19","0","0.0","0","31125","0.99","20917"
"org.openrewrite.gradle.spring.AddSpringDependencyManagementPlugin","23","19","0","0.0","0","2668","0.99","750"
"org.openrewrite.java.ReorderMethodArguments","207","19","0","0.0","0","9969824","0.99","528125"
"org.openrewrite.java.spring.security6.oauth2.client.OAuth2ClientLambdaDsl","46","19","0","0.0","0","662162","0.99","184583"
"org.openrewrite.java.spring.boot2.ServerHttpSecurityLambdaDsl","69","19","0","0.0","0","1841669","0.99","829666"
"org.openrewrite.java.testing.junit5.MockitoJUnitToMockitoExtension","46","19","0","0.0","0","627745","0.99","66541"
"org.openrewrite.java.spring.security5.ReplaceGlobalMethodSecurityWithMethodSecurity","69","19","0","0.0","0","360253538","0.99","359918583"
"org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs","23","19","0","0.0","0","1460","0.99","333"
"org.openrewrite.java.springdoc.SpringFoxToSpringDoc","23","19","0","0.0","0","2209","0.99","500"
"org.openrewrite.java.migrate.lang.JavaLangAPIs","23","19","0","0.0","0","1416","0.99","417"
"org.openrewrite.xml.ChangeTagValue","115","19","0","0.0","0","248925","0.99","68000"
"org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic","23","19","0","0.0","0","832","0.99","166"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateIntLiteralFalseToSinkRecipe","23","19","0","0.0","0","288249","0.99","86333"
"org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl","23","19","0","0.0","0","1374","0.99","500"
"org.openrewrite.java.ChangeMethodName","1610","19","0","0.0","0","37351679","0.99","1242959"
"org.openrewrite.java.migrate.lombok.UpdateLombokToJava11","23","19","0","0.0","0","2291","0.99","459"
"org.openrewrite.java.testing.junit5.UseXMLUnitLegacy","23","19","0","0.0","0","1666","0.99","708"
"org.openrewrite.java.migrate.net.MigrateURLDecoderDecode","23","19","0","0.0","0","95750","0.99","13917"
"org.openrewrite.java.migrate.util.OptionalNotPresentToIsEmpty","23","19","0","0.0","0","4378084","0.99","2866166"
"org.openrewrite.java.spring.boot2.SpringBootMavenPluginMigrateAgentToAgents","23","19","0","0.0","0","864748","0.99","862958"
"org.openrewrite.java.migrate.sql.JavaSqlAPIs","23","19","0","0.0","0","1418","0.99","333"
"org.openrewrite.java.migrate.AddMissingMethodImplementation","253","19","0","0.0","0","5176084","0.99","210750"
